#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   cswch/s nvcswch/s  Command
 1708450231 39075    170540   23.00    4.00    0.00   27.00     2  36879.00      0.00 2642488   5320   0.00    116.00     10.00  mb_server
 1708450233 39075    170540   56.00   37.00    0.00   93.00     2    439.00      0.00 2841148   6588   0.00      0.00      0.00  mb_server
 1708450234 39075    170540   56.00   50.00    0.00  106.00     2    409.00      0.00 2841148   8436   0.00      0.00      0.00  mb_server
 1708450235 39075    170540   65.35   38.61    0.00  103.96     2    660.40      0.00 2841148  10060   0.01      0.00      0.00  mb_server
 1708450236 39075    170540   64.00   36.00    0.00  100.00     2    528.00      0.00 2841148  11500   0.01      0.00      0.00  mb_server
 1708450237 39075    170540   65.00   41.00    0.00  106.00     2    423.00      0.00 2841148  13056   0.01      0.00      0.00  mb_server
 1708450238 39075    170540   66.00   39.00    0.00  105.00     2    381.00      0.00 2841148  14636   0.01      0.00      0.00  mb_server
 1708450239 39075    170540   67.00   40.00    0.00  107.00     2    427.00      0.00 2841148  16220   0.01      0.00      0.00  mb_server
 1708450240 39075    170540   62.00   49.00    0.00  111.00     2    643.00      0.00 2841148  18032   0.01      0.00      0.00  mb_server
 1708450241 39075    170540   58.42   38.61    0.00   97.03     2    599.01      0.00 2841148  19596   0.01      0.00      0.00  mb_server
 1708450242 39075    170540   70.00   33.00    0.00  103.00     2    614.00      0.00 2841148  21180   0.01      0.00      0.00  mb_server
 1708450243 39075    170540   25.00   16.00    0.00   41.00     2    271.00      0.00 2841148  22060   0.01      0.00      0.00  mb_server
 1708450244 39075    170540    0.00    0.00    0.00    0.00     2     24.00      0.00 2841148  22060   0.01      0.00      0.00  mb_server
