#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   cswch/s nvcswch/s  Command
 1708451993 39075    192319   24.00    4.00    0.00   28.00     9  36874.00      0.00 2642424   5296   0.00     83.00      2.00  mb_server
 1708451995 39075    192319   38.00   25.00    0.00   63.00     9    310.00      0.00 2775548   5784   0.00      0.00      0.00  mb_server
 1708451996 39075    192319    0.00    0.00    0.00    0.00     9     15.00      0.00 2775548   6044   0.00      0.00      0.00  mb_server
 1708452001 39075    192319    0.00    1.00    0.00    1.00     9      0.00      0.00 2775548   6044   0.00      0.00      0.00  mb_server
 1708452005 39075    192319    1.00    0.00    0.00    1.00     9      0.00      0.00 2775548   6044   0.00      0.00      0.00  mb_server
 1708452014 39075    192319    1.00    0.00    0.00    1.00     9      0.00      0.00 2775548   6044   0.00      0.00      0.00  mb_server
 1708452018 39075    192319    0.00    1.00    0.00    1.00     9      0.00      0.00 2775548   6044   0.00      0.00      0.00  mb_server
 1708452027 39075    192319    0.00    0.00    0.00    0.00     9     13.00      0.00 2775548   6044   0.00      0.00      0.00  mb_server
