#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM   cswch/s nvcswch/s  Command
 1708452113 39075    194696   24.00    5.00    0.00   29.00     2  36884.00      0.00 2642488   5308   0.00    106.00      3.00  mb_server
 1708452115 39075    194696  155.45  146.53    0.00  301.98     2    992.08      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452116 39075    194696    0.00    1.00    0.00    1.00     2     20.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452117 39075    194696    0.00    0.00    0.00    0.00     2      7.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452118 39075    194696    0.00    0.00    0.00    0.00     2      1.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452119 39075    194696    1.00    1.00    0.00    2.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452121 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452124 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452125 39075    194696    1.00    0.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452128 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452129 39075    194696    1.00    0.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452131 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452134 39075    194696    1.00    0.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452136 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452139 39075    194696    1.00    1.00    0.00    2.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452142 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452146 39075    194696    0.00    1.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452148 39075    194696    1.00    0.00    0.00    1.00     2      0.00      0.00 2775612   6076   0.00      0.00      0.00  mb_server
 1708452150 39075    194696    0.00    0.00    0.00    0.00     2     38.00      0.00 2775612   7348   0.00      0.00      0.00  mb_server
