mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.82.59:50051       -streaming=true       -req=8192       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:229765] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:229765] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 8192 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0112.ten.osc.edu, Rank 1, Rate 121311.20 RPCs/s, TX Bandwidth 7953.29 Mb/s, RX Bandwidth 9.70 Mb/s, RTT (us) mean 16.39, P50 12.25, P95 12.49, P99 12.51, max 1405.95
Host p0111.ten.osc.edu, Rank 0, Rate 109975.88 RPCs/s, TX Bandwidth 7210.15 Mb/s, RX Bandwidth 8.80 Mb/s, RTT (us) mean 18.09, P50 12.27, P95 12.54, P99 12.56, max 1206.27
Host p0113.ten.osc.edu, Rank 2, Rate 111906.97 RPCs/s, TX Bandwidth 7336.75 Mb/s, RX Bandwidth 8.95 Mb/s, RTT (us) mean 17.76, P50 12.05, P95 12.14, P99 12.15, max 1411.07
Host p0114.ten.osc.edu, Rank 3, Rate 85822.85 RPCs/s, TX Bandwidth 5626.68 Mb/s, RX Bandwidth 6.87 Mb/s, RTT (us) mean 23.19, P50 15.94, P95 16.34, P99 16.37, max 1359.87
Host p0112.ten.osc.edu, Rank 1, Rate 127601.71 RPCs/s, TX Bandwidth 8365.57 Mb/s, RX Bandwidth 10.21 Mb/s, RTT (us) mean 15.99, P50 12.07, P95 12.28, P99 12.29, max 1405.95
Host p0111.ten.osc.edu, Rank 0, Rate 114412.21 RPCs/s, TX Bandwidth 7500.86 Mb/s, RX Bandwidth 9.15 Mb/s, RTT (us) mean 17.72, P50 12.55, P95 12.82, P99 12.84, max 1475.58
Host p0113.ten.osc.edu, Rank 2, Rate 125971.94 RPCs/s, TX Bandwidth 8258.72 Mb/s, RX Bandwidth 10.08 Mb/s, RTT (us) mean 16.72, P50 12.06, P95 12.14, P99 12.15, max 1411.07
Host p0114.ten.osc.edu, Rank 3, Rate 91960.43 RPCs/s, TX Bandwidth 6028.93 Mb/s, RX Bandwidth 7.36 Mb/s, RTT (us) mean 22.40, P50 15.42, P95 15.70, P99 15.73, max 1359.87
Host p0112.ten.osc.edu, Rank 1, Rate 126073.96 RPCs/s, TX Bandwidth 8265.41 Mb/s, RX Bandwidth 10.09 Mb/s, RTT (us) mean 15.92, P50 12.02, P95 12.23, P99 12.25, max 1405.95
Host p0111.ten.osc.edu, Rank 0, Rate 122092.24 RPCs/s, TX Bandwidth 8004.37 Mb/s, RX Bandwidth 9.77 Mb/s, RTT (us) mean 17.22, P50 12.66, P95 12.89, P99 12.90, max 1475.58
