mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.82.59:50051       -streaming=true       -req=131072       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:256840] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:256840] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 131072 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0113.ten.osc.edu, Rank 2, Rate 8456.89 RPCs/s, TX Bandwidth 8869.01 Mb/s, RX Bandwidth 0.68 Mb/s, RTT (us) mean 118.12, P50 59.17, P95 59.87, P99 59.94, max 152961.02
Host p0114.ten.osc.edu, Rank 3, Rate 7684.08 RPCs/s, TX Bandwidth 8058.64 Mb/s, RX Bandwidth 0.61 Mb/s, RTT (us) mean 129.99, P50 79.94, P95 80.38, P99 80.38, max 150208.51
Host p0112.ten.osc.edu, Rank 1, Rate 20050.44 RPCs/s, TX Bandwidth 21027.15 Mb/s, RX Bandwidth 1.60 Mb/s, RTT (us) mean 99.63, P50 64.48, P95 65.44, P99 65.50, max 1406.97
Host p0111.ten.osc.edu, Rank 0, Rate 23412.19 RPCs/s, TX Bandwidth 24552.30 Mb/s, RX Bandwidth 1.87 Mb/s, RTT (us) mean 85.34, P50 69.18, P95 69.63, P99 69.69, max 1079.30
Host p0113.ten.osc.edu, Rank 2, Rate 13693.99 RPCs/s, TX Bandwidth 14361.72 Mb/s, RX Bandwidth 1.10 Mb/s, RTT (us) mean 145.91, P50 69.82, P95 71.49, P99 71.68, max 1216.51
Host p0114.ten.osc.edu, Rank 3, Rate 11758.99 RPCs/s, TX Bandwidth 12332.67 Mb/s, RX Bandwidth 0.94 Mb/s, RTT (us) mean 169.95, P50 141.57, P95 144.00, P99 144.13, max 1087.49
Host p0112.ten.osc.edu, Rank 1, Rate 20298.80 RPCs/s, TX Bandwidth 21285.48 Mb/s, RX Bandwidth 1.62 Mb/s, RTT (us) mean 99.03, P50 65.50, P95 66.88, P99 66.88, max 1406.97
Host p0111.ten.osc.edu, Rank 0, Rate 22252.09 RPCs/s, TX Bandwidth 23333.72 Mb/s, RX Bandwidth 1.78 Mb/s, RTT (us) mean 87.51, P50 69.25, P95 69.69, P99 69.69, max 1079.30
Host p0113.ten.osc.edu, Rank 2, Rate 13765.17 RPCs/s, TX Bandwidth 14434.27 Mb/s, RX Bandwidth 1.10 Mb/s, RTT (us) mean 145.55, P50 70.46, P95 72.45, P99 72.58, max 4321.28
Host p0114.ten.osc.edu, Rank 3, Rate 11323.95 RPCs/s, TX Bandwidth 11874.38 Mb/s, RX Bandwidth 0.91 Mb/s, RTT (us) mean 173.16, P50 135.94, P95 141.44, P99 141.82, max 3911.68
