
Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6

Server listening on 0.0.0.0:50051 CQs: 40 Threads: 40 NUMA: 0 Prepost: 1
E0212 10:40:48.661850716   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 49, r = 65
E0212 10:40:48.661856944   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 50, r = 65
E0212 10:40:48.661863175   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 51, r = 65
E0212 10:40:48.661869369   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 52, r = 65
E0212 10:40:48.661875839   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 53, r = 65
E0212 10:40:48.661882029   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 54, r = 65
E0212 10:40:48.661888264   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 55, r = 65
E0212 10:40:48.661894461   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 56, r = 65
E0212 10:40:48.661900693   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 57, r = 65
E0212 10:40:48.661906911   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 58, r = 65
E0212 10:40:48.661913357   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 59, r = 65
E0212 10:40:48.661919554   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 60, r = 65
E0212 10:40:48.661926050   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 61, r = 65
E0212 10:40:48.661932245   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 62, r = 65
E0212 10:40:48.661938481   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 63, r = 65
E0212 10:40:48.661944646   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 64, r = 65
E0212 10:40:48.661963484   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 0, r = 192
E0212 10:40:48.661970604   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 1, r = 192
E0212 10:40:48.661976901   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 2, r = 192
E0212 10:40:48.661983375   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 3, r = 192
E0212 10:40:48.661989621   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 4, r = 192
E0212 10:40:48.661995820   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 5, r = 192
E0212 10:40:48.662002070   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 6, r = 192
E0212 10:40:48.662008262   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 7, r = 192
E0212 10:40:48.662014523   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 8, r = 192
E0212 10:40:48.662020938   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 9, r = 192
E0212 10:40:48.662027313   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 10, r = 192
E0212 10:40:48.662033652   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 11, r = 192
E0212 10:40:48.662039956   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 12, r = 192
E0212 10:40:48.662046418   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 13, r = 192
E0212 10:40:48.662075305   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 14, r = 192
E0212 10:40:48.662083745   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 15, r = 192
E0212 10:40:48.662090220   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 16, r = 192
E0212 10:40:48.662096529   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 17, r = 192
E0212 10:40:48.662102819   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 18, r = 192
E0212 10:40:48.662109746   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 19, r = 192
E0212 10:40:48.662116285   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 20, r = 192
E0212 10:40:48.662122611   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 21, r = 192
E0212 10:40:48.662128905   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 22, r = 192
E0212 10:40:48.662135382   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 23, r = 192
E0212 10:40:48.662141674   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 24, r = 192
E0212 10:40:48.662147952   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 25, r = 192
E0212 10:40:48.662154435   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 26, r = 192
E0212 10:40:48.662160659   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 27, r = 192
E0212 10:40:48.662166934   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 28, r = 192
E0212 10:40:48.662173174   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 29, r = 192
E0212 10:40:48.662179449   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 30, r = 192
E0212 10:40:48.662185915   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 31, r = 192
E0212 10:40:48.662192173   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 32, r = 192
E0212 10:40:48.662198444   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 33, r = 192
E0212 10:40:48.662204699   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 34, r = 192
E0212 10:40:48.662211107   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 35, r = 192
E0212 10:40:48.662217374   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 36, r = 192
E0212 10:40:48.662223653   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 37, r = 192
E0212 10:40:48.662229908   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 38, r = 192
E0212 10:40:48.662236339   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 39, r = 192
E0212 10:40:48.662242593   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 40, r = 192
E0212 10:40:48.662248851   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 41, r = 192
E0212 10:40:48.662255186   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 42, r = 192
E0212 10:40:48.662261656   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 43, r = 192
E0212 10:40:48.662267947   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 44, r = 192
E0212 10:40:48.662275124   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 45, r = 192
E0212 10:40:48.662281494   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 46, r = 192
E0212 10:40:48.662287713   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 47, r = 192
E0212 10:40:48.662294068   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 48, r = 192
E0212 10:40:48.662300282   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 49, r = 192
E0212 10:40:48.662306811   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 50, r = 192
E0212 10:40:48.662313032   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 51, r = 192
E0212 10:40:48.662319347   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 52, r = 192
E0212 10:40:48.662325598   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 53, r = 192
E0212 10:40:48.662332093   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 54, r = 192
E0212 10:40:48.662339801   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 55, r = 192
E0212 10:40:48.662346210   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 56, r = 192
E0212 10:40:48.662352438   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 57, r = 192
E0212 10:40:48.662358904   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 58, r = 192
E0212 10:40:48.662365118   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 59, r = 192
E0212 10:40:48.662371645   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 60, r = 192
E0212 10:40:48.662377898   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 61, r = 192
E0212 10:40:48.662384142   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 62, r = 192
E0212 10:40:48.662390434   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 63, r = 192
E0212 10:40:48.662396698   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 64, r = 192
E0212 10:40:48.662402987   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 65, r = 192
E0212 10:40:48.662409518   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 66, r = 192
E0212 10:40:48.662415742   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 67, r = 192
E0212 10:40:48.662422271   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 68, r = 192
E0212 10:40:48.662428539   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 69, r = 192
E0212 10:40:48.662434871   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 70, r = 192
E0212 10:40:48.662441086   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 71, r = 192
E0212 10:40:48.662447437   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 72, r = 192
E0212 10:40:48.662454457   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 73, r = 192
E0212 10:40:48.662460748   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 74, r = 192
E0212 10:40:48.662466982   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 75, r = 192
E0212 10:40:48.662473252   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 76, r = 192
E0212 10:40:48.662479498   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 77, r = 192
E0212 10:40:48.662486057   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 78, r = 192
E0212 10:40:48.662492296   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 79, r = 192
E0212 10:40:48.662498697   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 80, r = 192
E0212 10:40:48.662505572   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 81, r = 192
E0212 10:40:48.662511914   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 82, r = 192
E0212 10:40:48.662518197   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 83, r = 192
E0212 10:40:48.662524487   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 84, r = 192
E0212 10:40:48.662530963   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 85, r = 192
E0212 10:40:48.662537271   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 86, r = 192
E0212 10:40:48.662543526   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 87, r = 192
E0212 10:40:48.662549821   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 88, r = 192
E0212 10:40:48.662556265   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 89, r = 192
E0212 10:40:48.662562580   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 90, r = 192
E0212 10:40:48.662568781   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 91, r = 192
E0212 10:40:48.662575320   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 92, r = 192
E0212 10:40:48.662581551   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 93, r = 192
E0212 10:40:48.662587889   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 94, r = 192
E0212 10:40:48.662595387   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 95, r = 192
E0212 10:40:48.662602079   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 96, r = 192
E0212 10:40:48.662608337   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 97, r = 192
E0212 10:40:48.662614614   61520 rdma_conn.cc:375]           Channel: data, PollRecvCompletion, wc status = 5, i = 98, r = 192
