mpirun --bind-to none -x GRPC_PLATFORM_TYPE -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.81.30:50051       -streaming=true       -req=32       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -random_delay=false

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 32 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0030.ten.osc.edu, Rank 2, Rate 235116.71 RPCs/s, TX Bandwidth 63.95 Mb/s, RX Bandwidth 18.81 Mb/s, RTT (us) mean 9.36, P50 7.37, P95 7.42, P99 7.42, max 1496.06
Host p0028.ten.osc.edu, Rank 0, Rate 190356.54 RPCs/s, TX Bandwidth 51.78 Mb/s, RX Bandwidth 15.23 Mb/s, RTT (us) mean 10.28, P50 7.79, P95 7.92, P99 7.93, max 1495.04
Host p0029.ten.osc.edu, Rank 1, Rate 245389.48 RPCs/s, TX Bandwidth 66.75 Mb/s, RX Bandwidth 19.63 Mb/s, RTT (us) mean 8.61, P50 7.23, P95 7.24, P99 7.25, max 1567.74
Host p0031.ten.osc.edu, Rank 3, Rate 226801.73 RPCs/s, TX Bandwidth 61.69 Mb/s, RX Bandwidth 18.14 Mb/s, RTT (us) mean 9.48, P50 7.20, P95 7.26, P99 7.26, max 1235.97
Host p0030.ten.osc.edu, Rank 2, Rate 234010.55 RPCs/s, TX Bandwidth 63.65 Mb/s, RX Bandwidth 18.72 Mb/s, RTT (us) mean 9.22, P50 7.36, P95 7.41, P99 7.42, max 1496.06
Host p0028.ten.osc.edu, Rank 0, Rate 189926.45 RPCs/s, TX Bandwidth 51.66 Mb/s, RX Bandwidth 15.19 Mb/s, RTT (us) mean 10.30, P50 7.82, P95 7.95, P99 7.96, max 1495.04
Host p0029.ten.osc.edu, Rank 1, Rate 244951.73 RPCs/s, TX Bandwidth 66.63 Mb/s, RX Bandwidth 19.60 Mb/s, RTT (us) mean 8.54, P50 7.23, P95 7.24, P99 7.24, max 1567.74
Host p0031.ten.osc.edu, Rank 3, Rate 226867.55 RPCs/s, TX Bandwidth 61.71 Mb/s, RX Bandwidth 18.15 Mb/s, RTT (us) mean 9.38, P50 7.20, P95 7.25, P99 7.26, max 1474.56
Host p0030.ten.osc.edu, Rank 2, Rate 233968.14 RPCs/s, TX Bandwidth 63.64 Mb/s, RX Bandwidth 18.72 Mb/s, RTT (us) mean 9.12, P50 7.36, P95 7.40, P99 7.41, max 1496.06
Host p0028.ten.osc.edu, Rank 0, Rate 187483.89 RPCs/s, TX Bandwidth 51.00 Mb/s, RX Bandwidth 15.00 Mb/s, RTT (us) mean 10.33, P50 7.84, P95 7.97, P99 7.98, max 1495.04
Host p0029.ten.osc.edu, Rank 1, Rate 241356.85 RPCs/s, TX Bandwidth 65.65 Mb/s, RX Bandwidth 19.31 Mb/s, RTT (us) mean 8.50, P50 7.23, P95 7.24, P99 7.25, max 1567.74
Host p0031.ten.osc.edu, Rank 3, Rate 224263.23 RPCs/s, TX Bandwidth 61.00 Mb/s, RX Bandwidth 17.94 Mb/s, RTT (us) mean 9.32, P50 7.20, P95 7.25, P99 7.25, max 2279.42
Host p0030.ten.osc.edu, Rank 2, Rate 228330.97 RPCs/s, TX Bandwidth 62.11 Mb/s, RX Bandwidth 18.27 Mb/s, RTT (us) mean 9.07, P50 7.36, P95 7.40, P99 7.40, max 1496.06
Aggregated RPC Rate 859771.60 RPCs/s, Aggregated TX Bandwidth 233.86 Mb/s RX Bandwidth 68.78 Mb/s
RTT (us) mean 9.23, P50 7.24, P95 7.27, P99 7.28, max 2514.94
