mpirun --bind-to none       -x GRPC_PLATFORM_TYPE       -x GRPC_RDMA_BUSY_POLLING_TIMEOUT_US       -x GRPC_RDMA_RING_BUFFER_SIZE_KB       -x GRPC_VERBOSITY       -x GRPC_TRACE       --oversubscribe       -mca btl_tcp_if_include ib0       -mca btl_openib_allow_ib true       -mca btl_openib_warn_default_gid_prefix 0       -hostfile /tmp/geng161_clients       /users/PAS0350/geng161/.clion/grpc-rdma/examples/cpp/micro-bench/cmake-build-release-pitzer02/mb_client       -target=10.22.82.59:50051       -streaming=true       -req=131072       -warmup=10000       -rpcs=10000000       -concurrent=1       -duration=10       -delay=0       -report_interval=1       -random_delay=false
[pitzer-login02.hpc.osc.edu:267173] Warning: could not find environment variable "GRPC_VERBOSITY"
[pitzer-login02.hpc.osc.edu:267173] Warning: could not find environment variable "GRPC_TRACE"

Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Inactive Modules:
  1) mvapich2


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6


Activating Modules:
  1) mvapich2/2.3.6

Req 131072 bytes, Warmup 10000, RPCs 10000000, Concurrent 1, Send Delay 0.000 ms, Duration 10 secs, Streaming 1, Coalesce 1, msgs/stream 1000, Report Interval 1 secs
Host p0111.ten.osc.edu, Rank 0, Rate 10059.93 RPCs/s, TX Bandwidth 10548.92 Mb/s, RX Bandwidth 0.80 Mb/s, RTT (us) mean 196.89, P50 109.06, P95 109.89, P99 109.95, max 1488.89
Host p0114.ten.osc.edu, Rank 3, Rate 8494.52 RPCs/s, TX Bandwidth 8907.42 Mb/s, RX Bandwidth 0.68 Mb/s, RTT (us) mean 233.53, P50 125.06, P95 126.14, P99 126.21, max 1808.38
Host p0113.ten.osc.edu, Rank 2, Rate 8402.34 RPCs/s, TX Bandwidth 8810.77 Mb/s, RX Bandwidth 0.67 Mb/s, RTT (us) mean 233.85, P50 152.19, P95 194.69, P99 195.46, max 1632.26
Host p0112.ten.osc.edu, Rank 1, Rate 10505.57 RPCs/s, TX Bandwidth 11016.22 Mb/s, RX Bandwidth 0.84 Mb/s, RTT (us) mean 194.55, P50 109.95, P95 112.51, P99 112.77, max 1717.25
Host p0111.ten.osc.edu, Rank 0, Rate 10084.43 RPCs/s, TX Bandwidth 10574.61 Mb/s, RX Bandwidth 0.81 Mb/s, RTT (us) mean 197.11, P50 109.18, P95 110.02, P99 110.08, max 1488.89
Host p0114.ten.osc.edu, Rank 3, Rate 8256.61 RPCs/s, TX Bandwidth 8657.94 Mb/s, RX Bandwidth 0.66 Mb/s, RTT (us) mean 234.92, P50 125.31, P95 126.40, P99 126.46, max 1808.38
Host p0113.ten.osc.edu, Rank 2, Rate 8443.17 RPCs/s, TX Bandwidth 8853.57 Mb/s, RX Bandwidth 0.68 Mb/s, RTT (us) mean 234.34, P50 163.58, P95 193.66, P99 194.18, max 1632.26
Host p0112.ten.osc.edu, Rank 1, Rate 10475.85 RPCs/s, TX Bandwidth 10985.06 Mb/s, RX Bandwidth 0.84 Mb/s, RTT (us) mean 194.01, P50 110.21, P95 112.77, P99 113.09, max 1717.25
Host p0111.ten.osc.edu, Rank 0, Rate 10268.28 RPCs/s, TX Bandwidth 10767.40 Mb/s, RX Bandwidth 0.82 Mb/s, RTT (us) mean 196.77, P50 109.06, P95 109.89, P99 109.95, max 1488.89
Host p0114.ten.osc.edu, Rank 3, Rate 8668.98 RPCs/s, TX Bandwidth 9090.36 Mb/s, RX Bandwidth 0.69 Mb/s, RTT (us) mean 234.30, P50 125.44, P95 126.53, P99 126.59, max 1808.38
